MRT,Colour,Name,Index,Line name,Item_one,Item_two,item_three
NS1 EW24,Red,Jurong East,0,North South,Science Centre,Snow City,Ice skating at Jcube
NS2,Red,Bukit Batok,1,North South,Bukit Batok Neighbourhood Park,Bukit Batok Swimming Complex,Little Guilin
NS3,Red,Bukit Gombak,2,North South,Bowling at Home Team NS,Laser tag at Home Team NS,Little Guilin
NS4 BP1,Red,Choa Chu Kang,3,North South,Choa Chu Kang Sports Complex,Warren Golf and Country Club,Lot one Shoppers' Mall
NS5,Red,Yew Tee,4,North South,Choa Chu Kang Sports Complex,Limbang Park,Yew Tee Point
NS7,Red,Kranji,5,North South,Kranji Reservoir Park,Farm-hop,Hausmann Marketing Aquarium
NS,Red,Marsiling,6,North South,Marsiling Park Lookout Tower,Ribbon Playscape,Boardwalks
NS9 TE2,Red,Woodlands,7,North South,Woodlands Waterfront Park Jetty,Woodlands Town Park East,Fu Shan Garden Park – Dinosaur Playground
NS10,Red,Admiralty,8,North South,Cycling,Sri SivaKrishna Temple,Old Admiralty House
NS11,Red,Sembawang,9,North South,Sembawang Park,Sun Plaza,DUX Laser Tag
NS12,Red,Canberra,10,North South,Canberra Park,Cycling,Sembawang Shopping Centre
NS13,Red,Yishun,11,North South,Canopy Sky Walker,Kayaking,Paintball
NS14,Red,Khatib,12,North South,The Live Turtle and Tortoise Museum,Katapult Trampoline Park,Red dynasty paintball park
NS15,Red,Yio Chu Kang,13,North South,Kayaking,Yio Chu Kang Swimming Complex,Cycling
NS16,Red,Ang Mo Kio,14,North South,Kebun Baru Bird Singing Club,Iconic Dragon Playground,Kampong Mural
NS17 CC15,Red,Bishan,15,North South,Bishan-Ang Mo Kio Park,Kong Meng San Phor Kark See Temple,Windsor Nature Park
NS18,Red,Braddell,16,North South,Locomole,Toa Payoh Trail,Cafes
NS19,Red,Toa Payoh,17,North South,Jurassic Park,Toa Payoh Town Park,Lian Shan Shuang Lin Monastery
NS20,Red,Novena,18,North South,Bukit Brown Cemetery,Church of St. Alphonsus,Sun Yat Sen Nanyang Memorial Hall
